id,pid,mssubclass,lotfrontage,lotarea,neighborhood,overallqual,overallcond,yearbuilt,yearremod/add,masvnrarea,bsmtfinsf1,bsmtfinsf2,bsmtunfsf,totalbsmtsf,1stflrsf,2ndflrsf,lowqualfinsf,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,totrmsabvgrd,garageyrblt,garagearea,paveddrive,wooddecksf,openporchsf,enclosedporch,3ssnporch,screenporch,poolarea,miscval,mosold,yrsold,saleprice,zone_FV,zone_RL,zone_RM,lotshape_irr,near_busy_st,non_1fam,2plus_fl,hip_roof,ext_ord,has_veneer,cncrt_found,bsmt_ord,heatingqc_dum,cent_air_dum,garage_ord,fireplace_ord
1044,527451290,160,21.0,1680,1,6,5,1971,1971,232.0,387.0,0.0,96.0,483.0,483,504,0,987,0.0,0.0,1,1,2,1,1,4,1971.0,264.0,1,0,0,0,0,0,0,0,7,2008,85400,0,0,1,0,0,1,1,0,0,1,0,2.5,0,1,0.67,0.0
2752,906380150,20,64.0,7488,1,7,5,2005,2005,0.0,393.0,0.0,815.0,1208.0,1208,0,0,1208,0.0,0.0,2,0,2,1,2,6,2005.0,632.0,1,105,58,0,0,0,0,0,2,2006,183600,0,1,0,1,0,0,0,0,2,0,1,3.75,1,1,1.67,0.0
807,906226060,70,120.0,26400,3,5,7,1880,2007,0.0,0.0,0.0,0.0,0.0,1288,728,0,2016,0.0,0.0,1,0,4,1,1,7,1900.0,576.0,0,0,0,0,0,0,0,0,6,2009,131000,0,1,0,0,1,0,1,0,0,0,1,0.0,1,1,1.33,1.0
1177,533236070,160,24.0,2645,3,8,5,1999,2000,456.0,813.0,0.0,147.0,960.0,962,645,0,1607,1.0,0.0,2,1,3,1,2,7,2000.0,480.0,1,169,0,0,0,0,0,0,12,2008,200000,1,0,0,0,0,1,1,0,0,1,1,3.0,1,1,1.0,0.0
1480,907418040,20,74.0,9627,1,7,5,2007,2007,0.0,24.0,0.0,1327.0,1351.0,1361,0,0,1361,0.0,0.0,2,0,3,1,2,6,2007.0,610.0,1,0,50,0,0,0,0,0,6,2008,193000,0,1,0,0,0,0,0,0,2,0,1,3.75,1,1,1.67,0.0
324,923202105,20,93.0,10114,1,5,5,2004,2005,0.0,0.0,0.0,1430.0,1430.0,1430,0,0,1430,0.0,0.0,2,0,3,1,2,7,2004.0,624.0,1,0,0,0,0,0,0,0,3,2010,173500,0,1,0,0,0,0,0,0,2,0,1,3.0,1,1,1.67,0.0
1311,902301140,70,34.0,4571,1,5,5,1916,1950,0.0,0.0,0.0,624.0,624.0,624,720,0,1344,0.0,0.0,1,0,4,1,1,7,1916.0,513.0,1,0,0,96,0,0,0,0,5,2008,98000,0,0,1,0,0,0,1,0,1,0,0,1.75,0,0,1.33,0.0
770,905101490,20,80.0,8816,1,5,6,1963,1963,0.0,651.0,0.0,470.0,1121.0,1121,0,0,1121,1.0,0.0,1,0,3,1,1,5,1963.0,480.0,1,0,80,0,0,0,0,0,6,2009,139000,0,1,0,0,1,0,0,0,2,0,1,2.0,0,1,1.0,0.0
2063,905107140,20,71.0,8197,1,6,5,1977,1977,148.0,0.0,0.0,660.0,660.0,1285,0,0,1285,0.0,0.0,1,1,3,1,1,7,1977.0,528.0,1,138,0,0,0,0,0,0,4,2007,143500,0,1,0,0,0,0,0,0,0,1,0,1.75,1,1,1.67,1.0
69,528458070,60,72.0,8640,3,7,5,2009,2009,0.0,24.0,0.0,732.0,756.0,764,783,0,1547,0.0,0.0,2,1,3,1,2,7,2009.0,614.0,1,169,45,0,0,0,0,0,6,2010,215200,1,0,0,0,0,0,1,0,2,0,1,3.25,1,1,1.33,0.0
2062,905106150,20,109.0,8724,1,5,5,1968,1968,0.0,492.0,0.0,402.0,894.0,894,0,0,894,0.0,0.0,1,0,3,1,1,5,1968.0,450.0,1,0,0,0,0,0,0,0,5,2007,129000,0,1,0,0,0,0,0,0,2,0,0,2.5,0,1,1.67,0.5
351,527131030,120,40.0,5664,3,8,5,2000,2000,0.0,1158.0,0.0,343.0,1501.0,1659,0,0,1659,1.0,0.0,2,0,2,1,3,5,2000.0,499.0,1,212,59,0,0,0,0,0,10,2009,278000,0,1,0,1,0,0,0,0,2,0,1,3.0,1,1,1.67,1.75
2393,528142010,60,103.0,12867,3,8,5,2005,2006,,0.0,0.0,1209.0,1209.0,1209,1044,0,2253,0.0,0.0,2,1,3,1,3,8,2005.0,575.0,1,243,142,0,0,0,0,0,7,2006,344133,0,1,0,1,0,0,1,0,2,0,1,3.0,1,1,1.67,1.25
12,527165230,20,,7980,2,6,7,1992,2007,0.0,935.0,0.0,233.0,1168.0,1187,0,0,1187,1.0,0.0,2,0,3,1,1,6,1992.0,420.0,1,483,21,0,0,0,0,500,3,2010,185000,0,1,0,1,0,0,0,0,0,0,1,2.75,1,1,1.67,0.0
2339,527250040,190,100.0,34650,2,5,5,1955,1955,0.0,1056.0,0.0,0.0,1056.0,1056,0,0,1056,1.0,0.0,1,0,3,1,1,5,1955.0,572.0,1,264,0,0,0,0,0,0,1,2006,145000,0,1,0,0,0,1,0,1,0,0,0,2.25,0,0,1.67,0.0
624,535104120,20,92.0,10573,1,6,6,1961,1961,3.0,1312.0,0.0,141.0,1453.0,1453,0,0,1453,1.0,0.0,2,0,3,1,1,6,1961.0,530.0,1,0,49,0,0,288,0,0,4,2009,187500,0,1,0,1,0,0,0,1,0,1,0,2.0,1,1,1.67,1.0
86,532376160,20,65.0,8450,1,5,8,1965,2009,0.0,553.0,117.0,224.0,894.0,894,0,0,894,1.0,0.0,1,0,3,1,1,5,1973.0,336.0,1,416,144,0,0,0,0,0,4,2010,138500,0,1,0,0,0,0,0,0,0,0,0,2.75,1,1,0.67,1.25
1534,909277040,50,,11700,2,5,6,1937,1995,0.0,606.0,0.0,336.0,942.0,1265,673,0,1938,0.0,0.0,2,0,4,1,2,7,1937.0,240.0,1,0,40,0,0,0,0,0,7,2008,198000,0,1,0,1,0,0,0,0,1,0,0,2.25,1,1,0.67,1.25
2243,911103060,190,75.0,8250,2,5,6,1895,2006,0.0,0.0,0.0,957.0,957.0,1034,957,0,1991,0.0,0.0,2,0,4,2,1,9,,0.0,0,0,0,133,0,0,0,0,6,2007,119600,0,0,0,0,1,1,1,0,2,0,0,1.75,0,0,0.0,0.0
1957,535450190,50,60.0,8064,1,5,7,1949,2006,0.0,0.0,0.0,672.0,672.0,672,252,0,924,0.0,0.0,1,0,3,1,1,6,2003.0,576.0,1,0,0,0,0,0,0,2000,7,2007,122900,0,1,0,0,1,0,0,0,0,0,0,2.0,1,1,1.0,0.5
380,527355150,20,80.0,9600,2,8,5,1981,1981,0.0,1104.0,0.0,1420.0,2524.0,2524,0,0,2524,1.0,0.0,2,1,4,1,2,9,1981.0,542.0,1,474,120,0,0,0,0,0,7,2009,278000,0,1,0,0,0,0,0,1,1,0,1,2.75,0,1,1.67,1.25
2860,909276010,70,,11435,2,8,7,1929,1950,0.0,0.0,0.0,792.0,792.0,792,725,0,1517,0.0,0.0,1,0,3,1,2,7,1931.0,400.0,1,0,0,0,0,0,0,0,6,2006,230000,0,1,0,1,0,0,1,0,1,0,1,2.0,0,1,1.0,1.5
2517,533250130,120,30.0,9549,3,8,5,1995,1996,0.0,437.0,1057.0,0.0,1494.0,1494,0,0,1494,1.0,0.0,1,1,2,1,3,6,1995.0,481.0,1,0,30,0,0,216,0,0,4,2006,270000,0,1,0,1,0,0,0,1,1,0,1,3.0,1,1,1.67,1.25
1933,535302070,20,60.0,10950,1,6,6,1952,1952,0.0,441.0,0.0,507.0,948.0,948,0,0,948,0.0,0.0,1,0,2,1,1,5,1952.0,410.0,0,0,48,0,0,0,0,0,4,2007,125000,0,1,0,0,0,0,0,1,0,0,0,2.5,0,1,1.0,0.0
820,906340110,20,79.0,10637,1,8,5,2007,2008,336.0,1288.0,0.0,417.0,1705.0,1718,0,0,1718,1.0,0.0,2,0,3,1,2,7,2007.0,826.0,1,208,44,0,0,0,0,0,9,2009,297000,0,1,0,0,0,0,0,1,2,1,1,4.5,1,1,2.0,1.25
675,535426150,20,80.0,9000,1,6,6,1958,1958,82.0,0.0,0.0,160.0,160.0,1142,0,0,1142,0.0,0.0,1,0,2,1,1,5,1958.0,384.0,1,0,28,64,0,0,0,0,4,2009,113500,0,1,0,1,0,0,0,0,0,1,0,3.25,0,1,1.0,1.25
2910,923225240,160,41.0,2665,1,5,6,1977,1977,0.0,548.0,173.0,36.0,757.0,925,550,0,1475,0.0,0.0,2,0,4,1,1,6,1977.0,336.0,1,104,26,0,0,0,0,0,7,2006,127000,0,0,1,0,0,0,1,0,2,0,1,2.5,1,1,1.33,1.0
21,527358140,20,105.0,11751,2,6,6,1977,1977,480.0,705.0,0.0,1139.0,1844.0,1844,0,0,1844,0.0,0.0,2,0,3,1,1,7,1977.0,546.0,1,0,122,0,0,0,0,0,1,2010,190000,0,1,0,1,0,0,0,1,0,1,0,2.5,1,1,1.67,1.0
1873,534177210,20,80.0,9600,2,7,6,1973,1973,320.0,916.0,0.0,326.0,1242.0,1242,0,0,1242,0.0,0.0,1,1,3,1,1,6,1973.0,528.0,1,0,0,0,0,0,0,0,9,2007,175500,0,1,0,0,0,0,0,1,0,1,0,2.5,0,1,1.33,1.0
2125,907135050,20,60.0,8428,1,5,7,1994,1994,0.0,420.0,0.0,570.0,990.0,990,0,0,990,1.0,0.0,1,0,3,1,1,5,1995.0,384.0,1,256,0,0,0,0,0,0,7,2007,146000,0,1,0,1,0,0,0,0,2,0,1,3.25,1,1,0.67,0.0
1489,908102260,20,75.0,9937,3,5,6,1965,1965,0.0,830.0,290.0,136.0,1256.0,1256,0,0,1256,1.0,0.0,1,1,3,1,1,6,1965.0,276.0,1,736,68,0,0,0,0,0,6,2008,147500,0,1,0,0,0,0,0,0,0,0,0,2.25,0,1,1.33,0.0
2383,528110050,20,107.0,13891,3,10,5,2006,2006,,1386.0,0.0,690.0,2076.0,2076,0,0,2076,1.0,0.0,2,1,2,1,3,7,2006.0,850.0,1,216,229,0,0,0,0,0,9,2006,465000,0,1,0,0,0,0,0,0,2,0,1,4.75,1,1,2.0,1.25
983,923275040,85,,9101,1,5,6,1978,1978,104.0,1097.0,0.0,0.0,1097.0,1110,0,0,1110,1.0,0.0,1,0,1,1,2,4,1978.0,602.0,1,303,30,0,0,0,0,0,7,2009,165500,0,1,0,1,0,0,0,0,0,1,1,3.75,1,1,1.67,1.0
1325,902406090,50,81.0,12150,1,5,5,1954,1954,335.0,0.0,0.0,1050.0,1050.0,1050,745,0,1795,0.0,0.0,2,0,4,1,1,7,1954.0,352.0,1,0,0,0,0,0,0,0,11,2008,131500,0,0,1,0,0,0,0,0,0,1,0,1.75,1,0,1.0,0.0
1378,905102170,20,70.0,11200,1,5,5,1965,1965,0.0,906.0,0.0,134.0,1040.0,1040,0,0,1040,1.0,0.0,1,0,3,1,1,5,1965.0,384.0,1,0,0,0,0,0,0,0,2,2008,129500,0,1,0,0,0,0,0,1,0,0,0,2.0,1,1,0.67,0.0
1537,909281110,70,100.0,9670,2,8,6,1935,1950,40.0,210.0,0.0,398.0,608.0,983,890,0,1873,0.0,0.0,1,1,4,1,1,9,1935.0,786.0,1,0,0,207,0,0,0,0,6,2008,257076,0,1,0,1,0,0,1,0,1,1,1,1.5,0,1,1.33,1.5
905,909101140,50,60.0,10998,3,5,5,1941,1960,0.0,408.0,420.0,156.0,984.0,984,620,0,1604,0.0,0.0,2,0,3,1,1,6,1977.0,660.0,1,0,68,0,0,0,0,0,7,2009,117000,0,1,0,0,0,0,0,0,0,0,0,1.75,1,1,1.0,0.0
1532,909275050,70,60.0,7200,2,7,6,1931,2000,0.0,0.0,0.0,776.0,776.0,851,651,0,1502,0.0,0.0,1,1,3,1,1,6,1931.0,270.0,0,0,0,112,0,0,0,0,2,2008,149000,0,1,0,0,0,0,1,0,1,0,0,2.0,0,1,1.33,1.25
132,534475100,20,80.0,9920,1,5,5,1954,1954,110.0,354.0,290.0,412.0,1056.0,1063,0,0,1063,1.0,0.0,1,0,3,1,1,6,1954.0,280.0,1,0,0,164,0,0,0,0,2,2010,128000,0,1,0,0,0,0,0,0,0,1,0,2.0,0,1,1.33,0.0
1078,528188090,160,36.0,2448,3,7,5,2003,2004,106.0,0.0,0.0,764.0,764.0,764,862,0,1626,0.0,0.0,2,1,2,1,2,6,2003.0,474.0,1,0,27,0,0,0,0,0,10,2008,155000,0,1,0,0,0,1,1,0,2,1,1,2.0,1,1,2.0,0.0
2511,533221080,160,,2998,3,6,5,2000,2000,513.0,353.0,0.0,403.0,756.0,768,756,0,1524,0.0,0.0,2,1,2,1,2,4,2000.0,440.0,1,0,32,0,0,0,0,0,6,2006,166000,1,0,0,0,0,0,1,0,0,1,1,3.0,1,1,1.0,0.0
912,909250220,50,65.0,7804,1,4,3,1928,1950,0.0,622.0,0.0,500.0,1122.0,1328,653,0,1981,1.0,0.0,2,0,4,1,2,7,1981.0,576.0,1,431,44,0,0,0,0,0,12,2009,135000,0,1,0,0,0,0,0,0,1,0,0,2.25,0,1,1.0,1.25
2351,527356020,60,80.0,16692,2,7,5,1978,1978,184.0,790.0,469.0,133.0,1392.0,1392,1392,0,2784,1.0,0.0,3,1,5,1,2,12,1978.0,564.0,1,0,112,0,0,440,519,2000,7,2006,250000,0,1,0,1,0,0,1,0,0,1,0,2.5,0,1,1.67,1.25
330,923226250,160,21.0,1476,1,4,7,1970,1970,0.0,176.0,0.0,370.0,546.0,546,546,0,1092,0.0,0.0,1,1,3,1,1,5,,0.0,1,200,26,0,0,0,0,0,3,2010,76000,0,0,1,0,0,1,1,0,2,0,0,2.75,1,1,0.0,0.0
2586,535305120,20,75.0,10170,1,6,6,1951,1951,522.0,0.0,0.0,216.0,216.0,1575,0,0,1575,0.0,0.0,1,1,2,1,2,5,1951.0,400.0,1,0,0,0,0,0,0,0,6,2006,155000,0,1,0,0,0,0,0,1,0,1,0,1.75,0,1,1.33,1.25
224,905106140,60,80.0,9364,1,6,7,1969,1969,143.0,371.0,0.0,292.0,663.0,663,689,0,1352,0.0,0.0,1,1,4,1,1,7,1969.0,299.0,1,379,36,0,0,0,0,0,3,2010,158000,0,1,0,0,0,0,1,0,0,1,0,2.5,0,1,1.33,0.0
98,533212020,160,24.0,2544,3,7,5,2004,2005,0.0,368.0,42.0,190.0,600.0,600,600,0,1200,1.0,0.0,2,1,2,1,2,4,2004.0,480.0,1,0,172,0,0,0,0,0,2,2010,149500,1,0,0,0,0,1,1,0,0,0,1,3.0,1,1,1.33,0.0
2565,534479300,20,82.0,9888,1,5,6,1954,1975,0.0,486.0,0.0,450.0,936.0,936,0,0,936,0.0,0.0,1,0,2,1,1,5,1954.0,240.0,1,0,0,160,0,0,0,0,3,2006,121000,0,1,0,0,0,0,0,0,0,0,0,2.25,0,1,1.0,0.0
1934,535304170,20,68.0,7942,1,6,7,1953,1953,0.0,85.0,955.0,0.0,1040.0,1040,0,0,1040,0.0,1.0,1,0,3,1,1,6,1953.0,293.0,1,0,0,0,0,0,0,0,6,2007,136000,0,1,0,0,0,0,0,1,0,0,0,2.0,0,1,1.33,0.0
997,527107010,60,,15038,2,6,5,1996,1996,0.0,138.0,0.0,778.0,916.0,916,720,0,1636,0.0,0.0,2,1,3,1,1,7,1996.0,386.0,1,168,84,0,0,0,0,0,11,2008,173000,0,1,0,1,0,0,1,0,0,0,1,2.25,0,1,1.67,1.0
64,528382020,60,92.0,11764,3,8,7,1999,2007,348.0,524.0,0.0,628.0,1152.0,1164,1106,0,2270,0.0,0.0,2,1,4,1,2,9,1999.0,671.0,1,132,57,0,0,0,0,0,4,2010,290000,0,1,0,1,0,0,1,0,2,1,1,3.0,1,1,2.0,1.25
1799,528458130,60,75.0,9000,3,8,5,2007,2007,0.0,64.0,0.0,1120.0,1184.0,1184,1426,0,2610,0.0,0.0,2,1,4,1,3,11,2007.0,550.0,1,208,364,0,0,0,0,0,8,2007,303477,1,0,0,0,0,0,1,0,2,0,1,3.75,1,1,2.0,1.25
230,905109170,20,,20062,3,7,7,1977,2001,0.0,1092.0,0.0,328.0,1420.0,1483,0,0,1483,1.0,0.0,1,1,1,1,1,4,1977.0,690.0,1,496,0,0,0,0,0,0,4,2010,270000,0,1,0,1,0,0,0,1,0,0,0,4.0,0,1,1.67,1.25
1295,902109160,50,81.0,7308,1,5,5,1920,1950,0.0,360.0,0.0,576.0,936.0,960,780,0,1740,0.0,0.0,1,0,2,1,3,6,1920.0,225.0,0,0,0,236,0,0,0,0,6,2008,122250,0,0,1,0,1,0,0,0,1,0,0,2.0,0,0,0.67,1.25
638,535178120,20,70.0,8750,1,5,5,1955,1955,0.0,172.0,483.0,727.0,1382.0,1382,0,0,1382,0.0,1.0,1,0,3,1,2,6,1955.0,350.0,1,280,0,0,0,0,0,0,7,2009,153000,0,1,0,0,0,0,0,0,1,0,0,2.0,0,1,1.0,0.0
2278,923202134,20,70.0,8402,1,5,5,2007,2007,0.0,206.0,0.0,914.0,1120.0,1120,0,0,1120,0.0,0.0,1,0,3,1,1,6,,0.0,1,0,30,0,0,0,0,0,12,2007,147000,0,1,0,0,1,0,0,0,2,0,1,2.75,1,1,0.0,0.0
2202,909252150,70,63.0,4000,2,7,8,1930,1995,0.0,246.0,0.0,285.0,531.0,567,531,0,1098,1.0,0.0,1,0,2,1,1,5,1930.0,216.0,1,0,0,0,0,0,0,0,6,2007,148500,0,1,0,0,0,0,1,0,0,0,0,3.0,0,1,0.67,1.25
2833,908188150,160,32.0,3363,3,7,5,2004,2004,117.0,0.0,0.0,976.0,976.0,976,732,0,1708,0.0,0.0,2,0,3,1,2,7,2004.0,380.0,1,0,40,0,0,0,0,0,4,2006,130000,0,0,1,0,0,0,1,0,2,1,1,2.0,1,1,1.0,0.0
1707,528150040,20,94.0,13615,3,9,5,2006,2006,510.0,0.0,0.0,1802.0,1802.0,1802,0,0,1802,0.0,0.0,2,1,3,1,3,7,2006.0,843.0,1,158,105,0,0,0,0,0,6,2007,372000,0,1,0,1,0,0,0,1,0,1,1,3.5,1,1,2.0,1.25
2428,528228565,120,43.0,3013,2,7,5,2005,2005,145.0,16.0,0.0,1346.0,1362.0,1506,0,0,1506,0.0,0.0,2,0,2,1,2,6,2005.0,440.0,1,142,20,0,0,0,0,0,4,2006,213490,0,1,0,0,0,0,0,0,2,1,1,4.25,1,1,1.67,1.25
242,905453080,20,44.0,17485,3,7,5,2009,2010,96.0,1346.0,0.0,162.0,1508.0,1508,0,0,1508,1.0,0.0,1,0,1,1,2,5,2009.0,572.0,1,0,0,0,0,0,0,0,1,2010,308030,0,1,0,1,0,0,0,0,2,1,1,4.25,1,1,1.67,1.25
1564,914453045,20,,23730,1,7,5,1996,1997,668.0,700.0,0.0,1140.0,1840.0,2032,0,0,2032,1.0,0.0,3,0,3,1,2,7,1996.0,786.0,1,0,46,192,0,0,0,0,9,2008,300000,0,1,0,1,0,0,0,0,0,1,1,3.5,1,1,2.0,0.0
2613,535403150,20,79.0,8910,1,6,6,1959,1959,0.0,655.0,0.0,0.0,655.0,1194,0,0,1194,0.0,1.0,1,0,3,1,1,6,1954.0,539.0,1,0,0,192,0,0,0,0,7,2006,159500,0,1,0,0,0,0,0,1,1,0,0,2.75,1,1,2.0,0.75
2832,908188140,160,24.0,2522,3,7,5,2004,2004,50.0,0.0,0.0,970.0,970.0,970,739,0,1709,0.0,0.0,2,0,3,1,2,7,2004.0,380.0,1,0,40,0,0,0,0,0,4,2006,137500,0,0,1,0,0,1,1,0,2,1,1,2.0,1,1,1.0,0.0
2459,528439030,20,73.0,8688,3,7,5,2005,2005,228.0,0.0,0.0,1616.0,1616.0,1616,0,0,1616,0.0,0.0,2,0,3,1,2,7,2005.0,834.0,1,208,59,0,0,0,0,0,4,2006,232000,0,1,0,0,0,0,0,0,2,1,1,2.75,1,1,2.0,0.0
1360,903452025,30,,6291,2,6,6,1930,1950,0.0,0.0,0.0,768.0,768.0,768,0,0,768,0.0,0.0,1,0,1,1,1,4,1930.0,440.0,0,0,0,84,0,0,0,0,7,2008,93850,0,0,1,1,0,0,0,0,1,0,0,1.75,0,1,1.0,0.0
2723,905200380,30,,17529,1,5,5,1924,1950,65.0,0.0,0.0,872.0,872.0,872,0,0,872,0.0,0.0,1,0,2,1,0,5,1924.0,322.0,0,0,0,116,0,0,0,0,4,2006,105000,0,1,0,0,0,0,0,0,1,1,0,1.75,0,0,0.67,1.25
1350,903235100,30,60.0,6324,1,4,6,1927,1950,0.0,0.0,0.0,520.0,520.0,520,0,0,520,0.0,0.0,1,0,1,1,0,4,1920.0,240.0,1,49,0,87,0,0,0,0,5,2008,68500,0,0,1,1,1,0,0,0,0,0,0,1.75,0,0,0.67,0.0
136,535106190,90,80.0,11600,1,5,5,1960,1960,361.0,443.0,0.0,662.0,1105.0,1105,1169,0,2274,0.0,0.0,2,0,5,2,1,12,1960.0,480.0,1,0,0,0,0,0,0,0,1,2010,154300,0,1,0,0,1,1,1,0,0,1,0,2.0,0,1,1.0,0.0
2235,910201050,50,50.0,7288,2,5,7,1925,2003,0.0,0.0,0.0,936.0,936.0,936,665,0,1601,0.0,0.0,2,0,3,1,1,6,,0.0,0,0,0,0,176,0,0,0,9,2007,129850,0,0,1,0,1,0,0,0,2,0,0,1.25,1,1,0.0,0.0
1993,902301130,70,35.0,4571,1,5,7,1910,1950,0.0,168.0,0.0,448.0,616.0,616,616,0,1232,0.0,0.0,1,0,3,1,1,6,1920.0,480.0,1,280,0,143,0,0,0,0,6,2007,114000,0,0,1,0,0,0,1,0,0,0,0,2.25,1,1,1.0,0.0
367,527214050,20,63.0,17423,3,9,5,2008,2009,748.0,1904.0,0.0,312.0,2216.0,2234,0,0,2234,1.0,0.0,2,0,1,1,3,9,2009.0,1166.0,1,0,60,0,0,0,0,0,7,2009,501837,0,1,0,1,0,0,0,1,2,1,1,3.25,1,1,2.0,1.25
1309,902300215,50,100.0,12665,1,5,8,1915,1950,0.0,0.0,0.0,876.0,876.0,876,540,0,1416,0.0,0.0,1,1,4,1,1,7,1949.0,720.0,1,418,0,194,0,0,0,0,6,2008,153900,0,0,1,1,1,0,0,0,0,0,0,2.0,0,1,1.33,1.25
402,527425110,20,60.0,9000,1,4,7,1971,2006,0.0,240.0,0.0,624.0,864.0,864,0,0,864,0.0,0.0,1,0,3,1,1,5,1986.0,576.0,1,200,0,0,0,0,0,0,7,2009,130000,0,1,0,0,0,0,0,0,2,0,0,2.5,0,1,1.0,0.0
1592,923203140,120,32.0,4500,1,6,5,1997,1997,197.0,864.0,0.0,325.0,1189.0,1189,0,0,1189,1.0,0.0,2,0,2,1,1,4,1997.0,392.0,1,0,122,0,0,0,0,0,4,2008,160500,0,0,1,0,0,0,0,1,2,1,1,3.25,1,1,1.67,0.0
2409,528186110,120,48.0,6373,3,9,5,2006,2006,572.0,415.0,0.0,1251.0,1666.0,1666,0,0,1666,1.0,0.0,2,0,2,1,2,6,2006.0,575.0,1,228,75,0,0,0,0,0,6,2006,310090,0,1,0,0,0,0,0,1,0,1,1,3.5,1,1,1.67,1.25
539,531371050,20,67.0,10083,3,7,5,2003,2003,,833.0,0.0,343.0,1176.0,1200,0,0,1200,1.0,0.0,2,0,2,1,2,5,2003.0,555.0,1,0,41,0,0,0,0,0,8,2009,184900,0,1,0,0,0,0,0,0,2,0,1,3.0,1,1,1.67,0.0
1940,535327200,20,70.0,13300,1,5,7,1956,2000,0.0,377.0,0.0,551.0,928.0,928,0,0,928,0.0,0.0,1,0,2,1,1,4,1956.0,252.0,1,261,0,156,0,0,0,0,6,2007,132000,0,1,0,0,0,0,0,1,0,0,0,2.25,0,1,1.0,0.0
588,534129370,20,80.0,9600,2,5,5,1969,1969,128.0,553.0,147.0,588.0,1288.0,1336,0,0,1336,0.0,1.0,2,0,3,1,1,6,1969.0,502.0,1,312,11,0,0,0,0,650,8,2009,163000,0,1,0,0,1,0,0,0,0,1,0,3.0,0,1,1.67,0.75
